DOLocationID,Lieu de départ,Lieu d’arrivée
200,Riverdale/North Riverdale/Fieldston,Riverdale/North Riverdale/Fieldston
54,Columbia Street,Columbia Street
40,Carroll Gardens,Carroll Gardens
179,Old Astoria,Old Astoria
214,South Beach/Dongan Hills,South Beach/Dongan Hills
254,Williamsbridge/Olinville,Williamsbridge/Olinville
149,Madison,Madison
115,Grymes Hill/Clifton,Grymes Hill/Clifton
20,Belmont,Belmont
98,Fresh Meadows,Fresh Meadows
71,East Flatbush/Farragut,East Flatbush/Farragut
198,Ridgewood,Ridgewood
189,Prospect Heights,Prospect Heights
160,Middle Village,Middle Village
171,Murray Hill-Queens,Murray Hill-Queens
108,Gravesend,Gravesend
10,Baisley Park,Baisley Park
70,East Elmhurst,East Elmhurst
258,Woodhaven,Woodhaven
77,East New York/Pennsylvania Avenue,East New York/Pennsylvania Avenue
208,Schuylerville/Edgewater Park,Schuylerville/Edgewater Park
67,Dyker Heights,Dyker Heights
153,Marble Hill,Marble Hill
197,Richmond Hill,Richmond Hill
134,Kew Gardens,Kew Gardens
23,Bloomfield/Emerson Hill,Bloomfield/Emerson Hill
173,North Corona,North Corona
133,Kensington,Kensington
58,Country Club,Country Club
175,Oakland Gardens,Oakland Gardens
92,Flushing,Flushing
185,Pelham Parkway,Pelham Parkway
27,Breezy Point/Fort Tilden/Riis Beach,Breezy Point/Fort Tilden/Riis Beach
93,Flushing Meadows-Corona Park,Flushing Meadows-Corona Park
245,West Brighton,West Brighton
180,Ozone Park,Ozone Park
201,Rockaway Park,Rockaway Park
131,Jamaica Estates,Jamaica Estates
32,Bronxdale,Bronxdale
120,Highbridge Park,Highbridge Park
8,Astoria Park,Astoria Park
202,Roosevelt Island,Roosevelt Island
11,Bath Beach,Bath Beach
135,Kew Gardens Hills,Kew Gardens Hills
46,City Island,City Island
195,Red Hook,Red Hook
86,Far Rockaway,Far Rockaway
210,Sheepshead Bay,Sheepshead Bay
257,Windsor Terrace,Windsor Terrace
206,Saint George/New Brighton,Saint George/New Brighton
176,Oakwood,Oakwood
81,Eastchester,Eastchester
240,Van Cortlandt Park,Van Cortlandt Park
73,East Flushing,East Flushing
207,Saint Michaels Cemetery/Woodside,Saint Michaels Cemetery/Woodside
178,Ocean Parkway South,Ocean Parkway South
63,Cypress Hills,Cypress Hills
222,Starrett City,Starrett City
122,Hollis,Hollis
123,Homecrest,Homecrest
118,Heartland Village/Todt Hill,Heartland Village/Todt Hill
218,Springfield Gardens North,Springfield Gardens North
55,Coney Island,Coney Island
117,Hammels/Arverne,Hammels/Arverne
124,Howard Beach,Howard Beach
3,Allerton/Pelham Gardens,Allerton/Pelham Gardens
192,Queensboro Hill,Queensboro Hill
184,Pelham Bay Park,Pelham Bay Park
16,Bayside,Bayside
44,Charleston/Tottenville,Charleston/Tottenville
187,Port Richmond,Port Richmond
150,Manhattan Beach,Manhattan Beach
96,Forest Park/Highland Park,Forest Park/Highland Park
190,Prospect Park,Prospect Park
34,Brooklyn Navy Yard,Brooklyn Navy Yard
99,Freshkills Park,Freshkills Park
101,Glen Oaks,Glen Oaks
5,Arden Heights,Arden Heights
156,Mariners Harbor,Mariners Harbor
253,Willets Point,Willets Point
221,Stapleton,Stapleton
84,Eltingville/Annadale/Prince's Bay,Eltingville/Annadale/Prince's Bay
57,Corona,Corona
139,Laurelton,Laurelton
19,Bellerose,Bellerose
9,Auburndale,Auburndale
6,Arrochar/Fort Wadsworth,Arrochar/Fort Wadsworth
30,Broad Channel,Broad Channel
109,Great Kills,Great Kills
204,Rossville/Woodrow,Rossville/Woodrow
